n,n_next,t_hat_1e6_n,t_hat_1e6_next,delta_t_hat_1e6,abs_delta_t_hat_1e6,fracture_threshold_1e6,fracture_class
493,494,714285,0,-714285,714285,200000,STRONG
496,497,0,238095,238095,238095,200000,MODERATE
497,498,238095,0,-238095,238095,200000,MODERATE
510,511,0,238095,238095,238095,200000,MODERATE
511,512,238095,0,-238095,238095,200000,MODERATE
516,517,0,428571,428571,428571,200000,MODERATE
517,518,428571,0,-428571,428571,200000,MODERATE
526,527,0,714285,714285,714285,200000,STRONG
527,528,714285,0,-714285,714285,200000,STRONG
528,529,0,954545,954545,954545,200000,EXTREME
529,530,954545,0,-954545,954545,200000,EXTREME
532,533,0,500000,500000,500000,200000,STRONG
533,534,500000,0,-500000,500000,200000,STRONG
538,539,0,227272,227272,227272,200000,MODERATE
539,540,227272,0,-227272,227272,200000,MODERATE
550,551,0,772727,772727,772727,200000,STRONG
551,552,772727,0,-772727,772727,200000,STRONG
552,553,0,227272,227272,227272,200000,MODERATE
553,554,227272,0,-227272,227272,200000,MODERATE
558,559,0,500000,500000,500000,200000,STRONG
559,560,500000,0,-500000,500000,200000,STRONG
580,581,0,217391,217391,217391,200000,MODERATE
581,582,217391,0,-217391,217391,200000,MODERATE
582,583,0,391304,391304,391304,200000,MODERATE
583,584,391304,0,-391304,391304,200000,MODERATE
588,589,0,739130,739130,739130,200000,STRONG
589,590,739130,0,-739130,739130,200000,STRONG
610,611,0,478260,478260,478260,200000,MODERATE
611,612,478260,0,-478260,478260,200000,MODERATE
622,623,0,217391,217391,217391,200000,MODERATE
623,624,217391,0,-217391,217391,200000,MODERATE
628,629,0,625000,625000,625000,200000,STRONG
629,630,625000,0,-625000,625000,200000,STRONG
636,637,0,208333,208333,208333,200000,MODERATE
637,638,208333,0,-208333,208333,200000,MODERATE
648,649,0,375000,375000,375000,200000,MODERATE
649,650,375000,0,-375000,375000,200000,MODERATE
666,667,0,875000,875000,875000,200000,EXTREME
667,668,875000,0,-875000,875000,200000,EXTREME
670,671,0,375000,375000,375000,200000,MODERATE
671,672,375000,0,-375000,375000,200000,MODERATE
678,679,0,200000,200000,200000,200000,MODERATE
679,680,200000,0,-200000,200000,200000,MODERATE
688,689,0,440000,440000,440000,200000,MODERATE
689,690,440000,0,-440000,440000,200000,MODERATE
696,697,0,600000,600000,600000,200000,STRONG
