n,n_next,t_hat_1e6_n,t_hat_1e6_next,delta_t_hat_1e6,abs_delta_t_hat_1e6,fracture_threshold_1e6,fracture_class
2641,2642,340000,0,-340000,340000,200000,MODERATE
2668,2669,0,300000,300000,300000,200000,MODERATE
2669,2670,300000,0,-300000,300000,200000,MODERATE
2700,2701,0,700000,700000,700000,200000,STRONG
2701,2702,700000,0,-700000,700000,200000,STRONG
2742,2743,0,215686,215686,215686,200000,MODERATE
2743,2744,215686,0,-215686,215686,200000,MODERATE
2746,2747,0,764705,764705,764705,200000,STRONG
2747,2748,764705,0,-764705,764705,200000,STRONG
2758,2759,0,568627,568627,568627,200000,STRONG
2759,2760,568627,0,-568627,568627,200000,STRONG
2770,2771,0,294117,294117,294117,200000,MODERATE
2771,2772,294117,0,-294117,294117,200000,MODERATE
2772,2773,0,882352,882352,882352,200000,EXTREME
2773,2774,882352,0,-882352,882352,200000,EXTREME
2808,2809,0,980769,980769,980769,200000,EXTREME
2809,2810,980769,0,-980769,980769,200000,EXTREME
2812,2813,0,519230,519230,519230,200000,STRONG
2813,2814,519230,0,-519230,519230,200000,STRONG
2830,2831,0,326923,326923,326923,200000,MODERATE
2831,2832,326923,0,-326923,326923,200000,MODERATE
2838,2839,0,288461,288461,288461,200000,MODERATE
2839,2840,288461,0,-288461,288461,200000,MODERATE
2866,2867,0,865384,865384,865384,200000,EXTREME
2867,2868,865384,0,-865384,865384,200000,EXTREME
2868,2869,0,326923,326923,326923,200000,MODERATE
2869,2870,326923,0,-326923,326923,200000,MODERATE
2872,2873,0,211538,211538,211538,200000,MODERATE
2873,2874,211538,0,-211538,211538,200000,MODERATE
2880,2881,0,788461,788461,788461,200000,STRONG
2881,2882,788461,0,-788461,788461,200000,STRONG
2898,2899,0,211538,211538,211538,200000,MODERATE
2899,2900,211538,0,-211538,211538,200000,MODERATE
2910,2911,0,750000,750000,750000,200000,STRONG
2911,2912,750000,0,-750000,750000,200000,STRONG
2920,2921,0,396226,396226,396226,200000,MODERATE
2921,2922,396226,0,-396226,396226,200000,MODERATE
2922,2923,0,660377,660377,660377,200000,STRONG
2923,2924,660377,0,-660377,660377,200000,STRONG
2928,2929,0,509433,509433,509433,200000,STRONG
2929,2930,509433,0,-509433,509433,200000,STRONG
2940,2941,0,283018,283018,283018,200000,MODERATE
2941,2942,283018,0,-283018,283018,200000,MODERATE
2950,2951,0,207547,207547,207547,200000,MODERATE
2951,2952,207547,0,-207547,207547,200000,MODERATE
2976,2977,0,207547,207547,207547,200000,MODERATE
2977,2978,207547,0,-207547,207547,200000,MODERATE
2982,2983,0,320754,320754,320754,200000,MODERATE
2983,2984,320754,0,-320754,320754,200000,MODERATE
2986,2987,0,509433,509433,509433,200000,STRONG
2987,2988,509433,0,-509433,509433,200000,STRONG
2992,2993,0,735849,735849,735849,200000,STRONG
2993,2994,735849,0,-735849,735849,200000,STRONG
3006,3007,0,547169,547169,547169,200000,STRONG
3007,3008,547169,0,-547169,547169,200000,STRONG
3012,3013,0,396226,396226,396226,200000,MODERATE
3013,3014,396226,0,-396226,396226,200000,MODERATE
3028,3029,0,203703,203703,203703,200000,MODERATE
3029,3030,203703,0,-203703,203703,200000,MODERATE
3042,3043,0,277777,277777,277777,200000,MODERATE
3043,3044,277777,0,-277777,277777,200000,MODERATE
3052,3053,0,759259,759259,759259,200000,STRONG
3053,3054,759259,0,-759259,759259,200000,STRONG
3070,3071,0,648148,648148,648148,200000,STRONG
3071,3072,648148,0,-648148,648148,200000,STRONG
3076,3077,0,277777,277777,277777,200000,MODERATE
3077,3078,277777,0,-277777,277777,200000,MODERATE
3096,3097,0,314814,314814,314814,200000,MODERATE
3097,3098,314814,0,-314814,314814,200000,MODERATE
3102,3103,0,500000,500000,500000,200000,STRONG
3103,3104,500000,0,-500000,500000,200000,STRONG
3106,3107,0,203703,203703,203703,200000,MODERATE
3107,3108,203703,0,-203703,203703,200000,MODERATE
3126,3127,0,944444,944444,944444,200000,EXTREME
3127,3128,944444,0,-944444,944444,200000,EXTREME
3130,3131,0,537037,537037,537037,200000,STRONG
3131,3132,537037,0,-537037,537037,200000,STRONG
3132,3133,0,203703,203703,203703,200000,MODERATE
3133,3134,203703,0,-203703,203703,200000,MODERATE
3138,3139,0,745454,745454,745454,200000,STRONG
3139,3140,745454,0,-745454,745454,200000,STRONG
3148,3149,0,818181,818181,818181,200000,EXTREME
3149,3150,818181,0,-818181,818181,200000,EXTREME
3150,3151,0,381818,381818,381818,200000,MODERATE
3151,3152,381818,0,-381818,381818,200000,MODERATE
3160,3161,0,490909,490909,490909,200000,MODERATE
3161,3162,490909,0,-490909,490909,200000,MODERATE
3172,3173,0,309090,309090,309090,200000,MODERATE
3173,3174,309090,0,-309090,309090,200000,MODERATE
3192,3193,0,527272,527272,527272,200000,STRONG
3193,3194,527272,0,-527272,527272,200000,STRONG
3196,3197,0,381818,381818,381818,200000,MODERATE
3197,3198,381818,0,-381818,381818,200000,MODERATE
3210,3211,0,200000,200000,200000,200000,MODERATE
3211,3212,200000,0,-200000,200000,200000,MODERATE
3232,3233,0,927272,927272,927272,200000,EXTREME
3233,3234,927272,0,-927272,927272,200000,EXTREME
3238,3239,0,709090,709090,709090,200000,STRONG
3239,3240,709090,0,-709090,709090,200000,STRONG
3246,3247,0,272727,272727,272727,200000,MODERATE
3247,3248,272727,0,-272727,272727,200000,MODERATE
3276,3277,0,482142,482142,482142,200000,MODERATE
3277,3278,482142,0,-482142,482142,200000,MODERATE
3280,3281,0,267857,267857,267857,200000,MODERATE
3281,3282,267857,0,-267857,267857,200000,MODERATE
3286,3287,0,303571,303571,303571,200000,MODERATE
3287,3288,303571,0,-303571,303571,200000,MODERATE
3292,3293,0,625000,625000,625000,200000,STRONG
3293,3294,625000,0,-625000,625000,200000,STRONG
3316,3317,0,517857,517857,517857,200000,STRONG
3317,3318,517857,0,-517857,517857,200000,STRONG
3336,3337,0,803571,803571,803571,200000,EXTREME
3337,3338,803571,0,-803571,803571,200000,EXTREME
3348,3349,0,267857,267857,267857,200000,MODERATE
3349,3350,267857,0,-267857,267857,200000,MODERATE
3378,3379,0,508771,508771,508771,200000,STRONG
3379,3380,508771,0,-508771,508771,200000,STRONG
3382,3383,0,263157,263157,263157,200000,MODERATE
3383,3384,263157,0,-263157,263157,200000,MODERATE
3396,3397,0,719298,719298,719298,200000,STRONG
3397,3398,719298,0,-719298,719298,200000,STRONG
3400,3401,0,298245,298245,298245,200000,MODERATE
3401,3402,298245,0,-298245,298245,200000,MODERATE
3402,3403,0,684210,684210,684210,200000,STRONG
3403,3404,684210,0,-684210,684210,200000,STRONG
3426,3427,0,368421,368421,368421,200000,MODERATE
3427,3428,368421,0,-368421,368421,200000,MODERATE
3430,3431,0,789473,789473,789473,200000,STRONG
3431,3432,789473,0,-789473,789473,200000,STRONG
3438,3439,0,298245,298245,298245,200000,MODERATE
3439,3440,298245,0,-298245,298245,200000,MODERATE
3472,3473,0,368421,368421,368421,200000,MODERATE
3473,3474,368421,0,-368421,368421,200000,MODERATE
3480,3481,0,982758,982758,982758,200000,EXTREME
3481,3482,982758,0,-982758,982758,200000,EXTREME
3502,3503,0,500000,500000,500000,200000,STRONG
3503,3504,500000,0,-500000,500000,200000,STRONG
3550,3551,0,879310,879310,879310,200000,EXTREME
3551,3552,879310,0,-879310,879310,200000,EXTREME
3568,3569,0,706896,706896,706896,200000,STRONG
3569,3570,706896,0,-706896,706896,200000,STRONG
3586,3587,0,258620,258620,258620,200000,MODERATE
3587,3588,258620,0,-258620,258620,200000,MODERATE
3588,3589,0,603448,603448,603448,200000,STRONG
3589,3590,603448,0,-603448,603448,200000,STRONG
3598,3599,0,982758,982758,982758,200000,EXTREME
3599,3600,982758,0,-982758,982758,200000,EXTREME
3610,3611,0,355932,355932,355932,200000,MODERATE
3611,3612,355932,0,-355932,355932,200000,MODERATE
3628,3629,0,288135,288135,288135,200000,MODERATE
3629,3630,288135,0,-288135,288135,200000,MODERATE
3648,3649,0,661016,661016,661016,200000,STRONG
3649,3650,661016,0,-661016,661016,200000,STRONG
3666,3667,0,288135,288135,288135,200000,MODERATE
3667,3668,288135,0,-288135,288135,200000,MODERATE
3682,3683,0,457627,457627,457627,200000,MODERATE
3683,3684,457627,0,-457627,457627,200000,MODERATE
3712,3713,0,762711,762711,762711,200000,STRONG
3713,3714,762711,0,-762711,762711,200000,STRONG
3720,3721,0,983333,983333,983333,200000,EXTREME
3721,3722,983333,0,-983333,983333,200000,EXTREME
3736,3737,0,583333,583333,583333,200000,STRONG
3737,3738,583333,0,-583333,583333,200000,STRONG
3742,3743,0,283333,283333,283333,200000,MODERATE
3743,3744,283333,0,-283333,283333,200000,MODERATE
3748,3749,0,350000,350000,350000,200000,MODERATE
3749,3750,350000,0,-350000,350000,200000,MODERATE
3762,3763,0,850000,850000,850000,200000,EXTREME
3763,3764,850000,0,-850000,850000,200000,EXTREME
3780,3781,0,283333,283333,283333,200000,MODERATE
3781,3782,283333,0,-283333,283333,200000,MODERATE
3790,3791,0,250000,250000,250000,200000,MODERATE
3791,3792,250000,0,-250000,250000,200000,MODERATE
3798,3799,0,450000,450000,450000,200000,MODERATE
3799,3800,450000,0,-450000,450000,200000,MODERATE
3810,3811,0,583333,583333,583333,200000,STRONG
3811,3812,583333,0,-583333,583333,200000,STRONG
3826,3827,0,683333,683333,683333,200000,STRONG
3827,3828,683333,0,-683333,683333,200000,STRONG
3840,3841,0,350000,350000,350000,200000,MODERATE
3841,3842,350000,0,-350000,350000,200000,MODERATE
3858,3859,0,245901,245901,245901,200000,MODERATE
3859,3860,245901,0,-245901,245901,200000,MODERATE
3868,3869,0,836065,836065,836065,200000,EXTREME
3869,3870,836065,0,-836065,836065,200000,EXTREME
3892,3893,0,245901,245901,245901,200000,MODERATE
3893,3894,245901,0,-245901,245901,200000,MODERATE
3900,3901,0,737704,737704,737704,200000,STRONG
3901,3902,737704,0,-737704,737704,200000,STRONG
3936,3937,0,475409,475409,475409,200000,MODERATE
3937,3938,475409,0,-475409,475409,200000,MODERATE
3952,3953,0,934426,934426,934426,200000,EXTREME
3953,3954,934426,0,-934426,934426,200000,EXTREME
3958,3959,0,573770,573770,573770,200000,STRONG
3959,3960,573770,0,-573770,573770,200000,STRONG
3960,3961,0,245901,245901,245901,200000,MODERATE
3961,3962,245901,0,-245901,245901,200000,MODERATE
3972,3973,0,435483,435483,435483,200000,MODERATE
3973,3974,435483,0,-435483,435483,200000,MODERATE
3976,3977,0,629032,629032,629032,200000,STRONG
3977,3978,629032,0,-629032,629032,200000,STRONG
3978,3979,0,338709,338709,338709,200000,MODERATE
3979,3980,338709,0,-338709,338709,200000,MODERATE
4008,4009,0,274193,274193,274193,200000,MODERATE
4009,4010,274193,0,-274193,274193,200000,MODERATE
4030,4031,0,435483,435483,435483,200000,MODERATE
4031,4032,435483,0,-435483,435483,200000,MODERATE
4032,4033,0,564516,564516,564516,200000,STRONG
4033,4034,564516,0,-564516,564516,200000,STRONG
4060,4061,0,467741,467741,467741,200000,MODERATE
4061,4062,467741,0,-467741,467741,200000,MODERATE
4062,4063,0,241935,241935,241935,200000,MODERATE
4063,4064,241935,0,-241935,241935,200000,MODERATE
4086,4087,0,951612,951612,951612,200000,EXTREME
4087,4088,951612,0,-951612,951612,200000,EXTREME
4096,4097,0,238095,238095,238095,200000,MODERATE
4097,4098,238095,0,-238095,238095,200000,MODERATE
4116,4117,0,333333,333333,333333,200000,MODERATE
4117,4118,333333,0,-333333,333333,200000,MODERATE
4140,4141,0,619047,619047,619047,200000,STRONG
4141,4142,619047,0,-619047,619047,200000,STRONG
4162,4163,0,333333,333333,333333,200000,MODERATE
4163,4164,333333,0,-333333,333333,200000,MODERATE
4170,4171,0,650793,650793,650793,200000,STRONG
4171,4172,650793,0,-650793,650793,200000,STRONG
4180,4181,0,555555,555555,555555,200000,STRONG
4181,4182,555555,0,-555555,555555,200000,STRONG
4182,4183,0,714285,714285,714285,200000,STRONG
4183,4184,714285,0,-714285,714285,200000,STRONG
4186,4187,0,809523,809523,809523,200000,EXTREME
4187,4188,809523,0,-809523,809523,200000,EXTREME
4188,4189,0,904761,904761,904761,200000,EXTREME
4189,4190,904761,0,-904761,904761,200000,EXTREME
4222,4223,0,619047,619047,619047,200000,STRONG
4223,4224,619047,0,-619047,619047,200000,STRONG
4236,4237,0,265625,265625,265625,200000,MODERATE
4237,4238,265625,0,-265625,265625,200000,MODERATE
4246,4247,0,453125,453125,453125,200000,MODERATE
4247,4248,453125,0,-453125,453125,200000,MODERATE
4266,4267,0,234375,234375,234375,200000,MODERATE
4267,4268,234375,0,-234375,234375,200000,MODERATE
4306,4307,0,890625,890625,890625,200000,EXTREME
4307,4308,890625,0,-890625,890625,200000,EXTREME
4308,4309,0,453125,453125,453125,200000,MODERATE
4309,4310,453125,0,-453125,453125,200000,MODERATE
4312,4313,0,265625,265625,265625,200000,MODERATE
4313,4314,265625,0,-265625,265625,200000,MODERATE
4320,4321,0,421875,421875,421875,200000,MODERATE
4321,4322,421875,0,-421875,421875,200000,MODERATE
4330,4331,0,921875,921875,921875,200000,EXTREME
4331,4332,921875,0,-921875,921875,200000,EXTREME
4342,4343,0,640625,640625,640625,200000,STRONG
4343,4344,640625,0,-640625,640625,200000,STRONG
4350,4351,0,265625,265625,265625,200000,MODERATE
4351,4352,265625,0,-265625,265625,200000,MODERATE
4368,4369,0,230769,230769,230769,200000,MODERATE
4369,4370,230769,0,-230769,230769,200000,MODERATE
4378,4379,0,415384,415384,415384,200000,MODERATE
4379,4380,415384,0,-415384,415384,200000,MODERATE
4386,4387,0,600000,600000,600000,200000,STRONG
4387,4388,600000,0,-600000,600000,200000,STRONG
4392,4393,0,323076,323076,323076,200000,MODERATE
4393,4394,323076,0,-323076,323076,200000,MODERATE
4398,4399,0,784615,784615,784615,200000,STRONG
4399,4400,784615,0,-784615,784615,200000,STRONG
4426,4427,0,261538,261538,261538,200000,MODERATE
4427,4428,261538,0,-261538,261538,200000,MODERATE
4428,4429,0,630769,630769,630769,200000,STRONG
4429,4430,630769,0,-630769,630769,200000,STRONG
4438,4439,0,323076,323076,323076,200000,MODERATE
4439,4440,323076,0,-323076,323076,200000,MODERATE
4452,4453,0,907692,907692,907692,200000,EXTREME
4453,4454,907692,0,-907692,907692,200000,EXTREME
4468,4469,0,600000,600000,600000,200000,STRONG
4469,4470,600000,0,-600000,600000,200000,STRONG
4470,4471,0,230769,230769,230769,200000,MODERATE
4471,4472,230769,0,-230769,230769,200000,MODERATE
4488,4489,0,984848,984848,984848,200000,EXTREME
4489,4490,984848,0,-984848,984848,200000,EXTREME
4530,4531,0,318181,318181,318181,200000,MODERATE
4531,4532,318181,0,-318181,318181,200000,MODERATE
4540,4541,0,257575,257575,257575,200000,MODERATE
4541,4542,257575,0,-257575,257575,200000,MODERATE
4552,4553,0,409090,409090,409090,200000,MODERATE
4553,4554,409090,0,-409090,409090,200000,MODERATE
4558,4559,0,681818,681818,681818,200000,STRONG
4559,4560,681818,0,-681818,681818,200000,STRONG
4572,4573,0,227272,227272,227272,200000,MODERATE
4573,4574,227272,0,-227272,227272,200000,MODERATE
4576,4577,0,318181,318181,318181,200000,MODERATE
4577,4578,318181,0,-318181,318181,200000,MODERATE
4578,4579,0,257575,257575,257575,200000,MODERATE
4579,4580,257575,0,-257575,257575,200000,MODERATE
4600,4601,0,621212,621212,621212,200000,STRONG
4601,4602,621212,0,-621212,621212,200000,STRONG
4606,4607,0,227272,227272,227272,200000,MODERATE
4607,4608,227272,0,-227272,227272,200000,MODERATE
4618,4619,0,439393,439393,439393,200000,MODERATE
4619,4620,439393,0,-439393,439393,200000,MODERATE
4632,4633,0,582089,582089,582089,200000,STRONG
4633,4634,582089,0,-582089,582089,200000,STRONG
4660,4661,0,850746,850746,850746,200000,EXTREME
4661,4662,850746,0,-850746,850746,200000,EXTREME
4680,4681,0,432835,432835,432835,200000,MODERATE
4681,4682,432835,0,-432835,432835,200000,MODERATE
4686,4687,0,611940,611940,611940,200000,STRONG
4687,4688,611940,0,-611940,611940,200000,STRONG
4698,4699,0,522388,522388,522388,200000,STRONG
4699,4700,522388,0,-522388,522388,200000,STRONG
4708,4709,0,223880,223880,223880,200000,MODERATE
4709,4710,223880,0,-223880,223880,200000,MODERATE
4716,4717,0,761194,761194,761194,200000,STRONG
4717,4718,761194,0,-761194,761194,200000,STRONG
4726,4727,0,402985,402985,402985,200000,MODERATE
4727,4728,402985,0,-402985,402985,200000,MODERATE
4746,4747,0,671641,671641,671641,200000,STRONG
4747,4748,671641,0,-671641,671641,200000,STRONG
4756,4757,0,970149,970149,970149,200000,EXTREME
4757,4758,970149,0,-970149,970149,200000,EXTREME
4768,4769,0,250000,250000,250000,200000,MODERATE
4769,4770,250000,0,-250000,250000,200000,MODERATE
4776,4777,0,220588,220588,220588,200000,MODERATE
4777,4778,220588,0,-220588,220588,200000,MODERATE
4810,4811,0,220588,220588,220588,200000,MODERATE
4811,4812,220588,0,-220588,220588,200000,MODERATE
4818,4819,0,867647,867647,867647,200000,EXTREME
4819,4820,867647,0,-867647,867647,200000,EXTREME
4840,4841,0,661764,661764,661764,200000,STRONG
4841,4842,661764,0,-661764,661764,200000,STRONG
4842,4843,0,397058,397058,397058,200000,MODERATE
4843,4844,397058,0,-397058,397058,200000,MODERATE
4846,4847,0,514705,514705,514705,200000,STRONG
4847,4848,514705,0,-514705,514705,200000,STRONG
4852,4853,0,308823,308823,308823,200000,MODERATE
4853,4854,308823,0,-308823,308823,200000,MODERATE
4858,4859,0,602941,602941,602941,200000,STRONG
4859,4860,602941,0,-602941,602941,200000,STRONG
4866,4867,0,426470,426470,426470,200000,MODERATE
4867,4868,426470,0,-426470,426470,200000,MODERATE
4882,4883,0,250000,250000,250000,200000,MODERATE
4883,4884,250000,0,-250000,250000,200000,MODERATE
4890,4891,0,955882,955882,955882,200000,EXTREME
4891,4892,955882,0,-955882,955882,200000,EXTREME
4896,4897,0,838235,838235,838235,200000,EXTREME
4897,4898,838235,0,-838235,838235,200000,EXTREME
4912,4913,0,217391,217391,217391,200000,MODERATE
4913,4914,217391,0,-217391,217391,200000,MODERATE
4980,4981,0,217391,217391,217391,200000,MODERATE
4981,4982,217391,0,-217391,217391,200000,MODERATE
4996,4997,0,246376,246376,246376,200000,MODERATE
4997,4998,246376,0,-246376,246376,200000,MODERATE
5016,5017,0,391304,391304,391304,200000,MODERATE
5017,5018,391304,0,-391304,391304,200000,MODERATE
5028,5029,0,652173,652173,652173,200000,STRONG
5029,5030,652173,0,-652173,652173,200000,STRONG
5040,5041,0,985714,985714,985714,200000,EXTREME
5041,5042,985714,0,-985714,985714,200000,EXTREME
5052,5053,0,414285,414285,414285,200000,MODERATE
5053,5054,414285,0,-414285,414285,200000,MODERATE
5062,5063,0,842857,842857,842857,200000,EXTREME
5063,5064,842857,0,-842857,842857,200000,EXTREME
5068,5069,0,500000,500000,500000,200000,STRONG
5069,5070,500000,0,-500000,500000,200000,STRONG
5110,5111,0,242857,242857,242857,200000,MODERATE
5111,5112,242857,0,-242857,242857,200000,MODERATE
5122,5123,0,642857,642857,642857,200000,STRONG
5123,5124,642857,0,-642857,642857,200000,STRONG
5128,5129,0,300000,300000,300000,200000,MODERATE
5129,5130,300000,0,-300000,300000,200000,MODERATE
5140,5141,0,728571,728571,728571,200000,STRONG
5141,5142,728571,0,-728571,728571,200000,STRONG
5142,5143,0,500000,500000,500000,200000,STRONG
5143,5144,500000,0,-500000,500000,200000,STRONG
5148,5149,0,242857,242857,242857,200000,MODERATE
5149,5150,242857,0,-242857,242857,200000,MODERATE
5176,5177,0,414285,414285,414285,200000,MODERATE
5177,5178,414285,0,-414285,414285,200000,MODERATE
5182,5183,0,985714,985714,985714,200000,EXTREME
5183,5184,985714,0,-985714,985714,200000,EXTREME
5190,5191,0,380281,380281,380281,200000,MODERATE
5191,5192,380281,0,-380281,380281,200000,MODERATE
5206,5207,0,549295,549295,549295,200000,STRONG
5207,5208,549295,0,-549295,549295,200000,STRONG
5218,5219,0,211267,211267,211267,200000,MODERATE
5219,5220,211267,0,-211267,211267,200000,MODERATE
5220,5221,0,295774,295774,295774,200000,MODERATE
5221,5222,295774,0,-295774,295774,200000,MODERATE
5248,5249,0,380281,380281,380281,200000,MODERATE
5249,5250,380281,0,-380281,380281,200000,MODERATE
5250,5251,0,802816,802816,802816,200000,EXTREME
5251,5252,802816,0,-802816,802816,200000,EXTREME
5262,5263,0,239436,239436,239436,200000,MODERATE
5263,5264,239436,0,-239436,239436,200000,MODERATE
5266,5267,0,295774,295774,295774,200000,MODERATE
5267,5268,295774,0,-295774,295774,200000,MODERATE
5286,5287,0,211267,211267,211267,200000,MODERATE
5287,5288,211267,0,-211267,211267,200000,MODERATE
5292,5293,0,915492,915492,915492,200000,EXTREME
5293,5294,915492,0,-915492,915492,200000,EXTREME
5310,5311,0,633802,633802,633802,200000,STRONG
5311,5312,633802,0,-633802,633802,200000,STRONG
5320,5321,0,211267,211267,211267,200000,MODERATE
5321,5322,211267,0,-211267,211267,200000,MODERATE
5328,5329,0,986111,986111,986111,200000,EXTREME
5329,5330,986111,0,-986111,986111,200000,EXTREME
5338,5339,0,236111,236111,236111,200000,MODERATE
5339,5340,236111,0,-236111,236111,200000,MODERATE
5352,5353,0,708333,708333,708333,200000,STRONG
5353,5354,708333,0,-708333,708333,200000,STRONG
5358,5359,0,291666,291666,291666,200000,MODERATE
5359,5360,291666,0,-291666,291666,200000,MODERATE
5362,5363,0,402777,402777,402777,200000,MODERATE
5363,5364,402777,0,-402777,402777,200000,MODERATE
5370,5371,0,541666,541666,541666,200000,STRONG
5371,5372,541666,0,-541666,541666,200000,STRONG
5376,5377,0,236111,236111,236111,200000,MODERATE
5377,5378,236111,0,-236111,236111,200000,MODERATE
5388,5389,0,208333,208333,208333,200000,MODERATE
5389,5390,208333,0,-208333,208333,200000,MODERATE
5428,5429,0,819444,819444,819444,200000,EXTREME
5429,5430,819444,0,-819444,819444,200000,EXTREME
5458,5459,0,708333,708333,708333,200000,STRONG
5459,5460,708333,0,-708333,708333,200000,STRONG
5460,5461,0,569444,569444,569444,200000,STRONG
5461,5462,569444,0,-569444,569444,200000,STRONG
5490,5491,0,205479,205479,205479,200000,MODERATE
5491,5492,205479,0,-205479,205479,200000,MODERATE
5496,5497,0,287671,287671,287671,200000,MODERATE
5497,5498,287671,0,-287671,287671,200000,MODERATE
5512,5513,0,479452,479452,479452,200000,MODERATE
5513,5514,479452,0,-479452,479452,200000,MODERATE
5538,5539,0,369863,369863,369863,200000,MODERATE
5539,5540,369863,0,-369863,369863,200000,MODERATE
5542,5543,0,287671,287671,287671,200000,MODERATE
5543,5544,287671,0,-287671,287671,200000,MODERATE
5548,5549,0,397260,397260,397260,200000,MODERATE
5549,5550,397260,0,-397260,397260,200000,MODERATE
5560,5561,0,890410,890410,890410,200000,EXTREME
5561,5562,890410,0,-890410,890410,200000,EXTREME
5566,5567,0,232876,232876,232876,200000,MODERATE
5567,5568,232876,0,-232876,232876,200000,MODERATE
5586,5587,0,479452,479452,479452,200000,MODERATE
5587,5588,479452,0,-479452,479452,200000,MODERATE
5596,5597,0,369863,369863,369863,200000,MODERATE
5597,5598,369863,0,-369863,369863,200000,MODERATE
5608,5609,0,945205,945205,945205,200000,EXTREME
5609,5610,945205,0,-945205,945205,200000,EXTREME
5610,5611,0,397260,397260,397260,200000,MODERATE
5611,5612,397260,0,-397260,397260,200000,MODERATE
5616,5617,0,534246,534246,534246,200000,STRONG
5617,5618,534246,0,-534246,534246,200000,STRONG
5626,5627,0,202702,202702,202702,200000,MODERATE
5627,5628,202702,0,-202702,202702,200000,MODERATE
5632,5633,0,554054,554054,554054,200000,STRONG
5633,5634,554054,0,-554054,554054,200000,STRONG
5670,5671,0,689189,689189,689189,200000,STRONG
5671,5672,689189,0,-689189,689189,200000,STRONG
5698,5699,0,527027,527027,527027,200000,STRONG
5699,5700,527027,0,-527027,527027,200000,STRONG
5712,5713,0,364864,364864,364864,200000,MODERATE
5713,5714,364864,0,-364864,364864,200000,MODERATE
5722,5723,0,770270,770270,770270,200000,STRONG
5723,5724,770270,0,-770270,770270,200000,STRONG
5728,5729,0,202702,202702,202702,200000,MODERATE
5729,5730,202702,0,-202702,202702,200000,MODERATE
5766,5767,0,959459,959459,959459,200000,EXTREME
5767,5768,959459,0,-959459,959459,200000,EXTREME
5770,5771,0,364864,364864,364864,200000,MODERATE
5771,5772,364864,0,-364864,364864,200000,MODERATE
5772,5773,0,283783,283783,283783,200000,MODERATE
5773,5774,283783,0,-283783,283783,200000,MODERATE
5776,5777,0,680000,680000,680000,200000,STRONG
5777,5778,680000,0,-680000,680000,200000,STRONG
5808,5809,0,466666,466666,466666,200000,MODERATE
5809,5810,466666,0,-466666,466666,200000,MODERATE
5832,5833,0,226666,226666,226666,200000,MODERATE
5833,5834,226666,0,-226666,226666,200000,MODERATE
5890,5891,0,546666,546666,546666,200000,STRONG
5891,5892,546666,0,-546666,546666,200000,STRONG
5892,5893,0,920000,920000,920000,200000,EXTREME
5893,5894,920000,0,-920000,920000,200000,EXTREME
5898,5899,0,200000,200000,200000,200000,MODERATE
5899,5900,200000,0,-200000,200000,200000,MODERATE
5908,5909,0,226666,226666,226666,200000,MODERATE
5909,5910,226666,0,-226666,226666,200000,MODERATE
5910,5911,0,280000,280000,280000,200000,MODERATE
5911,5912,280000,0,-280000,280000,200000,MODERATE
5916,5917,0,786666,786666,786666,200000,STRONG
5917,5918,786666,0,-786666,786666,200000,STRONG
5920,5921,0,386666,386666,386666,200000,MODERATE
5921,5922,386666,0,-386666,386666,200000,MODERATE
5946,5947,0,223684,223684,223684,200000,MODERATE
5947,5948,223684,0,-223684,223684,200000,MODERATE
5958,5959,0,750000,750000,750000,200000,STRONG
5959,5960,750000,0,-750000,750000,200000,STRONG
5962,5963,0,855263,855263,855263,200000,EXTREME
5963,5964,855263,0,-855263,855263,200000,EXTREME
5968,5969,0,592105,592105,592105,200000,STRONG
5969,5970,592105,0,-592105,592105,200000,STRONG
5976,5977,0,539473,539473,539473,200000,STRONG
5977,5978,539473,0,-539473,539473,200000,STRONG
5982,5983,0,381578,381578,381578,200000,MODERATE
5983,5984,381578,0,-381578,381578,200000,MODERATE
5988,5989,0,671052,671052,671052,200000,STRONG
5989,5990,671052,0,-671052,671052,200000,STRONG
6022,6023,0,223684,223684,223684,200000,MODERATE
6023,6024,223684,0,-223684,223684,200000,MODERATE
6030,6031,0,460526,460526,460526,200000,MODERATE
6031,6032,460526,0,-460526,460526,200000,MODERATE
6048,6049,0,276315,276315,276315,200000,MODERATE
6049,6050,276315,0,-276315,276315,200000,MODERATE
6058,6059,0,934210,934210,934210,200000,EXTREME
6059,6060,934210,0,-934210,934210,200000,EXTREME
6076,6077,0,750000,750000,750000,200000,STRONG
6077,6078,750000,0,-750000,750000,200000,STRONG
6106,6107,0,376623,376623,376623,200000,MODERATE
6107,6108,376623,0,-376623,376623,200000,MODERATE
6108,6109,0,506493,506493,506493,200000,STRONG
6109,6110,506493,0,-506493,506493,200000,STRONG
6118,6119,0,350649,350649,350649,200000,MODERATE
6119,6120,350649,0,-350649,350649,200000,MODERATE
6156,6157,0,584415,584415,584415,200000,STRONG
6157,6158,584415,0,-584415,584415,200000,STRONG
6160,6161,0,766233,766233,766233,200000,STRONG
6161,6162,766233,0,-766233,766233,200000,STRONG
6168,6169,0,376623,376623,376623,200000,MODERATE
6169,6170,376623,0,-376623,376623,200000,MODERATE
6178,6179,0,454545,454545,454545,200000,MODERATE
6179,6180,454545,0,-454545,454545,200000,MODERATE
6186,6187,0,272727,272727,272727,200000,MODERATE
6187,6188,272727,0,-272727,272727,200000,MODERATE
