belt_type,n_start,n_end,length,threshold,window,need
FRACTURE_BELT_TC,5172,5225,54,20,50,10
FRACTURE_BELT_TC,5322,5377,56,20,50,10
FRACTURE_BELT_TC,5512,5645,134,20,50,10
FRACTURE_BELT_TC,5760,5815,56,20,50,10
FRACTURE_BELT_TC,5872,6011,140,20,50,10
FRACTURE_BELT_TC,6138,6209,72,20,50,10
FRACTURE_BELT_TC,6390,6557,168,20,50,10
FRACTURE_BELT_TC,6718,6779,62,20,50,10
FRACTURE_BELT_TC,6864,6937,74,20,50,10
FRACTURE_BELT_TC,6988,7037,50,20,50,10
FRACTURE_BELT_TC,7048,7115,68,20,50,10
FRACTURE_BELT_TC,7132,7201,70,20,50,10
FRACTURE_BELT_TC,7254,7327,74,20,50,10
FRACTURE_BELT_TC,7330,7421,92,20,50,10
FRACTURE_BELT_TC,7734,7849,116,20,50,10
FRACTURE_BELT_TC,7942,8051,110,20,50,10
FRACTURE_BELT_TC,8104,8179,76,20,50,10
FRACTURE_BELT_TC,8430,8521,92,20,50,10
FRACTURE_BELT_TC,8602,8659,58,20,50,10
FRACTURE_BELT_TC,8878,8951,74,20,50,10
FRACTURE_BELT_TC,9034,9119,86,20,50,10
FRACTURE_BELT_TC,9130,9215,86,20,50,10
FRACTURE_BELT_TC,9252,9319,68,20,50,10
FRACTURE_BELT_TC,9544,9641,98,20,50,10
FRACTURE_BELT_TC,9682,9731,50,20,50,10
FRACTURE_BELT_TC,9910,10067,158,20,50,10
FRACTURE_BELT_TC,10180,10277,98,20,50,10
FRACTURE_BELT_TC,10362,10411,50,20,50,10
FRACTURE_BELT_TC,10498,10609,112,20,50,10
FRACTURE_BELT_TC,10770,10855,86,20,50,10
FRACTURE_BELT_TC,10912,11069,158,20,50,10
FRACTURE_BELT_TC,11260,11329,70,20,50,10
FRACTURE_BELT_TC,11338,11405,68,20,50,10
FRACTURE_BELT_TC,11520,11687,168,20,50,10
FRACTURE_BELT_TC,11724,11777,54,20,50,10
FRACTURE_BELT_TC,11850,11905,56,20,50,10
FRACTURE_BELT_TC,11980,12061,82,20,50,10
FRACTURE_BELT_TC,12118,12215,98,20,50,10
FRACTURE_BELT_TC,12702,12779,78,20,50,10
FRACTURE_BELT_TC,12790,12887,98,20,50,10
FRACTURE_BELT_TC,12982,13099,118,20,50,10
FRACTURE_BELT_TC,13164,13319,156,20,50,10
FRACTURE_BELT_TC,13480,13531,52,20,50,10
FRACTURE_BELT_TC,13540,13651,112,20,50,10
FRACTURE_BELT_TC,13794,13871,78,20,50,10
FRACTURE_BELT_TC,13924,13991,68,20,50,10
FRACTURE_BELT_TC,14074,14177,104,20,50,10
FRACTURE_BELT_TC,14184,14401,218,20,50,10
FRACTURE_BELT_TC,14428,14521,94,20,50,10
FRACTURE_BELT_TC,14670,14729,60,20,50,10
FRACTURE_BELT_TC,14824,14941,118,20,50,10
FRACTURE_BELT_TC,14974,15055,82,20,50,10
FRACTURE_BELT_TC,15118,15257,140,20,50,10
FRACTURE_BELT_TC,15468,15611,144,20,50,10
FRACTURE_BELT_TC,15660,15737,78,20,50,10
FRACTURE_BELT_TC,15808,15901,94,20,50,10
FRACTURE_BELT_TC,15994,16061,68,20,50,10
FRACTURE_BELT_TC,16098,16199,102,20,50,10
FRACTURE_BELT_TC,16228,16355,128,20,50,10
FRACTURE_BELT_TC,16434,16619,186,20,50,10
FRACTURE_BELT_TC,16684,16745,62,20,50,10
FRACTURE_BELT_TC,16750,16837,88,20,50,10
